detector_index,slope_MeV_per_channel,intercept_MeV,cv_error_MeV,r_squared,n_calibration_points,p_value,std_error,quality_flag
16,0.0012228102485144776,-0.10982771643854705,0.014297538602703885,0.9995248868977644,4,0.000237584774380295,1.885149380564678e-05,good
17,0.0011541811296939097,-0.11358792994635536,0.008369703990610794,0.9998619154151571,4,6.904467600510333e-05,9.590948472112634e-06,good
18,0.001165282610602649,-0.11419039299394718,0.007196350246509553,0.9998920178740944,4,5.3992520548940006e-05,8.562797108437069e-06,good
19,0.0011718291424958683,-0.11032302982574849,0.011432513322605337,0.9996235327710713,4,0.00018825133374666958,1.608031860818198e-05,good
20,0.0011697883998971579,-0.11555049840911336,0.0077985948389094895,0.9998750151006242,4,6.249440246308692e-05,9.248008640556708e-06,good
21,0.001222995550365434,-0.10937201119455575,0.01046605823734953,0.9997119022881055,4,0.0001440592324785106,1.4680550870732925e-05,good
22,0.0011265482129433472,-0.11535798537552111,0.011778189258910554,0.9996549258081089,4,0.00017255198303900437,1.4800144983231108e-05,good
23,0.0011178507806487376,-0.11129056897748724,0.008244045713383163,0.9998547151089398,4,7.2645084184253e-05,9.528194484423052e-06,good
24,0.0011458075280676452,-0.11412258278894827,0.013099554206003367,0.9995972298242096,4,0.00020140536995671981,1.6263454678814635e-05,good
25,0.0011443282541298643,-0.1107871825262805,0.011311375594450945,0.9997154681207168,4,0.00014227606088035308,1.3650950236929286e-05,good
26,0.0011174694259500273,-0.10646946359617493,0.007077008654314709,0.9998985899952725,4,5.070628792758215e-05,7.957617780169928e-06,good
27,0.0011618882651433157,-0.11263536324840695,0.011425485526104395,0.9997282205333595,4,0.00013589896758492426,1.3546175964818268e-05,good
28,0.001146178654784638,-0.10929916401442807,0.008345029313463564,0.9998630031625667,4,6.850076489406387e-05,9.4868566843582e-06,good
29,0.0011525462153443025,-0.1147195455023311,0.008982736952506926,0.9998421288753866,4,7.893867796415767e-05,1.024068450197486e-05,good
30,0.0011450803978379845,-0.1065969560649962,0.010723153970499333,0.9997518595295583,4,0.00012407793288760072,1.2756269111572708e-05,good
31,0.001144656457315714,-0.11365779627011618,0.010732194816596263,0.9997649741531021,4,0.00011751982890406691,1.2409921065124037e-05,good
32,0.0013750039580437152,-0.25909713907493104,0.04292862321758223,0.996359781443243,4,0.001821768698974768,5.876849726276161e-05,good
